@RELATION mood_classification

@ATTRIBUTE "Pitch" NUMERIC
@ATTRIBUTE "Speech Rate" NUMERIC
@ATTRIBUTE "Speech Duration" NUMERIC
@ATTRIBUTE "Mood" {0,1,2,3,4,5,6,7,8,9}

@DATA
138.88,77,18.02,8
284.85,165,3.66,9
179.56,117,8.93,7
218.57,132,12.41,5
153.69,63,12.32,1
247.33,127,11.4,5
209.33,179,6.89,6
337.83,160,8.74,0
244.97,132,8.06,6
251.94,154,7.5,9
248.81,128,8.27,6
289.91,159,5.5,9
129.21,65,17.35,1
223.78,159,10.15,4
273.82,159,10.59,0
123.77,71,13.39,1
157.53,107,8.08,3
302.32,171,9.43,0
245.49,155,9.1,6
220.01,182,6.14,4
223.79,147,5.68,6
233.18,139,14.79,5
154.72,106,12.62,7
179.92,113,13.88,3
258.8,193,10.8,0
149.49,53,12.59,1
214.87,147,9.17,6
215.74,132,14.66,5
287.51,142,7.4,0
216.0,148,8.45,5
325.72,180,9.07,0
277.7,157,4.69,9
234.32,199,5.61,4
147.7,114,8.84,7
209.63,124,9.73,5
219.16,156,6.74,6
284.74,160,6.27,9
223.22,154,8.2,5
162.01,114,11.89,3
113.43,90,16.72,8
189.28,99,13.8,3
142.45,91,16.09,2
218.08,192,6.4,4
140.9,50,16.79,8
104.02,63,13.72,8
245.13,138,3.55,9
185.45,114,12.15,5
207.78,153,10.81,4
164.79,58,18.47,1
200.62,144,8.36,5
241.27,140,13.75,5
223.51,136,8.7,6
293.34,142,7.84,9
274.03,141,3.23,9
140.86,127,15.74,2
283.96,159,5.72,9
152.3,67,18.25,1
155.87,95,12.49,2
142.02,105,17.6,2
170.91,92,13.38,7
224.17,131,6.13,6
150.9,60,17.41,1
148.59,103,8.55,7
205.98,149,8.65,5
239.96,171,5.97,6
136.59,90,11.66,8
220.18,154,7.98,6
201.13,113,10.1,5
202.17,185,8.36,4
256.4,176,9.41,0
264.43,150,6.41,4
113.52,52,11.03,8
190.21,81,15.86,3
156.35,113,14.31,2
149.28,67,14.05,1
135.31,68,13.77,1
281.1,176,5.79,0
189.13,134,5.75,6
233.37,206,8.21,4
136.99,77,16.47,8
195.56,103,11.74,3
236.94,158,3.25,9
245.33,165,6.34,4
263.75,165,9.42,4
114.84,64,15.0,8
315.5,179,7.19,0
140.97,115,17.47,2
250.63,140,7.71,9
261.13,160,12.81,5
195.56,92,9.65,3
174.43,122,14.62,2
296.12,194,11.22,0
315.82,179,8.85,0
158.48,90,10.71,7
151.15,115,12.52,7
154.8,106,13.62,2
299.97,145,4.41,9
269.08,130,4.49,9
230.03,151,7.05,6
216.59,76,15.4,3
132.95,70,14.66,8
164.95,93,13.82,7
276.36,147,9.09,0
138.92,59,18.05,8
236.13,195,8.86,4
141.8,130,11.1,7
187.0,156,13.44,5
152.6,94,14.05,2
178.22,107,14.25,7
137.6,53,18.53,8
187.52,151,9.62,6
154.1,69,10.49,1
126.34,68,18.37,1
172.12,99,16.05,2
104.04,73,18.58,8
160.04,104,13.33,7
220.82,126,5.45,6
133.95,78,17.16,8
165.3,106,12.28,7
210.57,142,8.12,5
144.6,127,11.29,7
268.74,135,13.29,5
143.75,129,17.58,2
176.95,100,16.91,2
179.41,95,9.58,3
139.73,78,12.75,1
156.25,112,14.03,2
234.72,135,3.94,9
259.63,183,10.54,4
209.2,128,9.08,6
139.6,64,11.64,1
198.37,72,13.35,3
236.54,128,11.27,5
250.92,203,7.95,4
168.76,91,15.37,2
256.37,158,10.13,5
186.3,170,7.32,6
167.16,112,16.11,2
163.1,71,16.91,1
190.19,121,7.82,6
187.64,136,8.25,6
154.91,92,14.65,2
200.54,177,5.45,6
175.39,97,13.54,7
164.59,100,15.33,2
327.3,197,5.53,0
348.21,177,6.27,0
145.53,101,14.33,7
187.67,128,10.26,5
256.6,146,3.54,9
162.34,95,14.14,7
120.14,67,13.53,8
227.37,110,8.61,5
141.37,58,17.02,8
166.98,91,12.07,7
234.53,138,5.16,6
187.26,173,9.0,6
210.54,107,11.31,3
288.7,151,7.1,9
273.15,191,11.19,0
166.13,60,10.81,1
339.77,193,8.52,0
264.53,189,11.72,4
204.06,189,6.49,4
127.06,60,17.45,1
250.56,145,5.35,0
283.7,163,4.48,9
185.34,136,9.29,6
315.9,145,10.12,0
285.59,132,5.68,9
163.38,51,17.86,1
207.3,134,6.55,6
140.55,57,16.5,1
142.55,73,10.17,8
296.78,150,10.51,0
125.26,74,15.88,8
110.82,69,19.31,8
212.65,150,5.82,6
146.63,88,15.0,8
126.31,59,11.14,8
158.77,72,9.81,3
155.03,96,9.86,3
147.41,84,17.01,8
193.52,161,8.53,6
227.62,161,5.13,6
235.8,117,14.05,5
157.49,93,8.39,7
188.1,97,8.99,3
184.29,101,8.9,3
270.46,140,3.86,9
145.41,70,15.53,8
140.72,78,19.85,8
249.59,138,7.18,9
208.27,136,14.0,5
113.98,50,19.54,8
264.36,208,10.55,4
258.31,146,3.16,9
191.63,89,12.39,3
154.02,100,13.45,2
189.92,158,6.43,6
121.39,77,18.08,8
160.21,122,9.57,7
165.69,114,8.9,7
223.21,148,5.23,6
150.27,74,9.95,3
166.67,108,13.82,2
201.36,171,9.54,6
274.46,144,8.81,0
216.84,170,5.89,6
214.89,152,14.37,5
159.45,71,10.89,3
105.84,78,19.0,8
147.43,60,13.74,1
328.72,144,5.05,0
142.69,68,15.2,1
132.63,84,10.21,8
153.76,58,13.46,1
277.18,167,6.45,9
169.52,114,17.99,2
153.66,117,14.77,7
321.48,159,7.78,0
170.81,114,15.54,3
167.0,91,11.3,2
233.02,135,4.92,9
229.91,153,9.24,4
209.56,120,9.61,5
256.3,166,4.16,9
192.74,152,9.95,6
284.07,159,6.43,9
176.25,130,12.13,7
158.02,112,9.18,3
213.66,146,13.44,5
313.61,191,5.72,0
126.83,86,13.66,8
189.23,122,7.28,6
275.77,191,7.28,0
244.55,128,10.16,5
249.91,168,6.74,9
206.05,97,14.43,3
210.95,192,5.69,4
188.25,120,12.2,3
324.88,193,8.12,0
129.19,52,15.2,8
226.49,116,7.37,5
